name,Apps,Mins,Goals,Assists,SpG,Rating,Apps_percentage,Mins_percentage,Goals_percentage,Assists_percentage,GnA_percentage,name_e,team,is_penalty_taker,is_starter,price,points,position,opponent,gfpg,gapg,opponent_gfpg,opponent_gapg,pr_diff,pred_GF,pred_GA,pred_score,pred_points
הוגו לוריס,9,810,0,0,0.0,6.75,1.0,1.0,0.0,0.0,0.0,Hugo Lloris,צרפת,0,1,10,0,GK,פורטוגל,2.0,0.72,2.2,0.8999999999999999,0.134,1.58834483514076,1.3430227210008279,"(1, 1)",4.0
ג'ורדן פיקפורד,6,540,0,0,0.0,6.35,0.75,0.765,0.0,0.0,0.0,Jordan Pickford,אנגליה,0,1,8,0,GK,צ`כיה,3.7,0.8999999999999999,1.3,1.65,0.436,3.7329053865475856,0.8570983325541531,"(3, 0)",6.0
סיימון מיניולה,4,395,0,0,0.0,6.565,0.444,0.488,0.0,0.0,0.0,Simon Mignolet,בלגיה,0,0,4,0,GK,פינלנד,3.2,0.36,1.2800000000000002,1.2,0.871,5.070877031231993,0.5235769243048239,"(5, 0)",0.0
טיבו קורטואה,4,360,0,0,0.0,6.385,0.444,0.444,0.0,0.0,0.0,Thibaut Courtois,בלגיה,0,0,9,0,GK,פינלנד,3.2,0.36,1.2800000000000002,1.2,0.871,5.070877031231993,0.5235769243048239,"(5, 0)",0.0
דויד דה חאה,4,360,0,0,0.0,6.92,0.571,0.562,0.0,0.0,0.0,David de Gea,ספרד,0,0,6,0,GK,סלובקיה,2.4800000000000004,0.6,1.2000000000000002,1.44,0.658,3.42477721474751,0.6303845345660855,"(3, 0)",0.0
אונאי סימון,5,450,0,0,0.0,6.12,0.714,0.702,0.0,0.0,0.0,Unai Simón,ספרד,0,1,9,0,GK,סלובקיה,2.4800000000000004,0.6,1.2000000000000002,1.44,0.658,3.42477721474751,0.6303845345660855,"(3, 0)",6.0
ברנד לנו,1,90,0,0,0.0,6.96,0.125,0.123,0.0,0.0,0.0,Bernd Leno,גרמניה,0,0,5,0,GK,הונגריה,3.0,1.05,1.04,1.56,0.608,3.76984126984127,0.7489965596330275,"(3, 0)",0.0
קווין טראפ,1,90,0,0,0.0,7.11,0.125,0.123,0.0,0.0,0.0,Kevin Trapp,גרמניה,0,0,3,0,GK,הונגריה,3.0,1.05,1.04,1.56,0.608,3.76984126984127,0.7489965596330275,"(3, 0)",0.0
מנואל נוייר,6,540,0,0,0.0,6.505,0.75,0.737,0.0,0.0,0.0,Manuel Neuer,גרמניה,0,1,9,0,GK,הונגריה,3.0,1.05,1.04,1.56,0.608,3.76984126984127,0.7489965596330275,"(3, 0)",6.0
אנתוני לופס,5,450,0,0,0.0,6.405,0.556,0.556,0.0,0.0,0.0,Anthony Lopes,פורטוגל,0,0,4,0,GK,צרפת,2.2,0.8999999999999999,2.0,0.72,-0.134,1.3430227210008279,1.58834483514076,"(1, 1)",0.0
רוי פטריסיו,4,360,0,0,0.0,6.91,0.444,0.444,0.0,0.0,0.0,Rui Patrício,פורטוגל,0,0,8,0,GK,צרפת,2.2,0.8999999999999999,2.0,0.72,-0.134,1.3430227210008279,1.58834483514076,"(1, 1)",0.0
ג'אנלואיג'י דונארומה,9,810,0,0,0.0,6.865,1.0,1.0,0.0,0.0,0.0,Gianluigi Donnarumma,איטליה,0,1,8,0,GK,וויילס,2.9600000000000004,0.48,1.0,0.8999999999999999,0.48300000000000004,2.8132060345455874,0.5631873358955819,"(2, 0)",6.0
טים קרול,5,450,0,0,0.0,6.225,0.556,0.556,0.0,0.0,0.0,Tim Krul,הולנד,0,0,5,0,GK,צפון מקדוניה,2.4000000000000004,1.05,1.0,1.4000000000000041,0.716,3.5540591096146694,0.6994677221236522,"(3, 0)",0.0
קספר שמייכל,9,766,0,0,0.0,6.65,1.0,1.0,0.0,0.0,0.0,Kasper Schmeichel,דנמרק,0,1,7,0,GK,רוסיה,2.3000000000000003,0.8999999999999999,2.0,0.96,0.38,2.164674634794157,1.1627906976744184,"(2, 1)",4.0
דומיניק ליבאקוביץ',9,810,0,0,0.0,6.39,1.0,1.0,0.0,0.0,0.0,Dominik Livakovic,קרואטיה,0,1,7,0,GK,סקוטלנד,1.7000000000000002,1.05,1.1333333333333362,2.000000000000004,0.36800000000000005,2.4316508937960073,0.8809446955024758,"(2, 0)",6.0
אואורג'אן צ'אקיר,4,360,0,0,0.0,6.6,0.5,0.531,0.0,0.0,0.0,Ugurcan Çakir,טורקיה,0,0,6,0,GK,שווייץ,1.4400000000000002,0.36,1.9000000000000001,0.8999999999999999,-0.0010000000000000009,1.1692399940038973,1.1307349777355282,"(1, 1)",0.0
יאן זומר,7,630,0,0,0.0,6.475,1.0,1.0,0.0,0.0,0.0,Yann Sommer,שווייץ,0,1,7,0,GK,טורקיה,1.9000000000000001,0.8999999999999999,1.4400000000000002,0.36,0.0010000000000000009,1.1307349777355282,1.1692399940038973,"(1, 1)",4.0
לוקאש פביאנסקי,3,270,0,0,0.0,6.61,0.375,0.359,0.0,0.0,0.0,Lukasz Fabianski,פולין,0,0,6,0,GK,שבדיה,1.4400000000000002,0.6,1.8399999999999999,1.08,-0.18,1.1280214861235454,1.3816534541336354,"(1, 1)",0.0
ווייצ'ך שצ'סני,6,540,0,0,0.0,6.45,0.75,0.718,0.0,0.0,0.0,Wojciech Szczesny,פולין,0,1,7,0,GK,שבדיה,1.4400000000000002,0.6,1.8399999999999999,1.08,-0.18,1.1280214861235454,1.3816534541336354,"(1, 1)",4.0
אנדרי פיאטוב,3,270,0,0,0.0,6.12,0.429,0.429,0.0,0.0,0.0,Andriy Pyatov,אוקראינה,0,0,3,0,GK,אוסטריה,1.7000000000000002,0.6,1.52,1.08,-0.02799999999999997,1.365154193675113,1.0796496231411694,"(1, 1)",0.0
כריסטופר נורדפלט,2,180,0,0,0.0,6.98,0.25,0.258,0.0,0.0,0.0,Kristoffer Nordfeldt,שבדיה,0,0,3,0,GK,פולין,1.8399999999999999,1.08,1.4400000000000002,0.6,0.18,1.3816534541336354,1.1280214861235454,"(1, 1)",0.0
רובין אולסן,6,540,0,0,0.0,6.39,0.75,0.774,0.0,0.0,0.0,Robin Olsen,שבדיה,0,1,6,0,GK,פולין,1.8399999999999999,1.08,1.4400000000000002,0.6,0.18,1.3816534541336354,1.1280214861235454,"(1, 1)",4.0
אלכסנדר שלאגר,5,450,0,0,0.0,5.705,0.556,0.565,0.0,0.0,0.0,Alexander Schlager,אוסטריה,0,0,6,0,GK,אוקראינה,1.52,1.08,1.7000000000000002,0.6,0.02799999999999997,1.0796496231411694,1.365154193675113,"(1, 1)",0.0
פאבאו פרבאן,4,360,0,0,0.0,6.7,0.444,0.452,0.0,0.0,0.0,Pavao Pervan,אוסטריה,0,0,3,0,GK,אוקראינה,1.52,1.08,1.7000000000000002,0.6,0.02799999999999997,1.0796496231411694,1.365154193675113,"(1, 1)",0.0
אנטון שונין,7,630,0,0,0.0,6.655,0.875,0.886,0.0,0.0,0.0,Anton Shunin,רוסיה,0,1,6,0,GK,דנמרק,2.0,0.96,2.3000000000000003,0.8999999999999999,-0.38,1.1627906976744184,2.164674634794157,"(1, 2)",3.0
אלש מנדוס,1,90,0,0,0.0,5.91,0.143,0.143,0.0,0.0,0.0,Ales Mandous,צ`כיה,0,0,3,0,GK,אנגליה,1.3,1.65,3.7,0.8999999999999999,-0.436,0.8570983325541531,3.7329053865475856,"(0, 3)",0.0
תומאש קובק,0,45,0,0,0.0,6.54,0.0,0.071,0.0,0.0,0.0,Tomás Koubek,צ`כיה,0,0,3,0,GK,אנגליה,1.3,1.65,3.7,0.8999999999999999,-0.436,0.8570983325541531,3.7329053865475856,"(0, 3)",0.0
